millis,stamp,datetime,temp
8987999,1497834209,42905.04375,15.3
8988998,1497834210,42905.04375,15.3
8990000,1497834211,42905.04375,15.3
8991000,1497834212,42905.04375,15.3
8992000,1497834213,42905.04375,15.3
8992999,1497834214,42905.04375,15.3
8993998,1497834215,42905.04375,15.3
8994999,1497834216,42905.04375,15.3
8995999,1497834217,42905.04375,15.3
8996999,1497834218,42905.04375,15.3
8997999,1497834219,42905.04375,15.3
8998999,1497834220,42905.04375,15.3
8999999,1497834221,42905.04375,15.3
9000999,1497834222,42905.04375,15.3
9001999,1497834223,42905.04375,15.3
9002999,1497834224,42905.04375,15.3
9003999,1497834225,42905.04375,15.3
9004998,1497834226,42905.04375,15.3
9005999,1497834227,42905.04375,15.3
9006999,1497834228,42905.04375,15.3
9007998,1497834229,42905.04375,15.3
9008999,1497834230,42905.04375,15.3
9009999,1497834231,42905.04375,15.3
9010999,1497834232,42905.04375,15.3
9011999,1497834233,42905.04375,15.3
9012999,1497834234,42905.04375,15.3
9013998,1497834235,42905.04375,15.3
9014999,1497834236,42905.04375,15.3
9015999,1497834237,42905.04375,15.3
9016998,1497834238,42905.04375,15.3
9017999,1497834239,42905.04375,15.3
9018998,1497834240,42905.04444,15.3
9019999,1497834241,42905.04444,15.3
9020999,1497834242,42905.04444,15.3
9021999,1497834243,42905.04444,15.3
9022998,1497834244,42905.04444,15.3
9024000,1497834245,42905.04444,15.3
9024999,1497834246,42905.04444,15.3
9025999,1497834247,42905.04444,15.3
9027000,1497834248,42905.04444,15.3
9027998,1497834249,42905.04444,15.3
9028999,1497834250,42905.04444,15.3
9030000,1497834251,42905.04444,15.3
9031000,1497834252,42905.04444,15.3
9032000,1497834253,42905.04444,15.3
9032999,1497834254,42905.04444,15.3
9034000,1497834255,42905.04444,15.3
9034998,1497834256,42905.04444,15.3
9035999,1497834257,42905.04444,15.3
9036999,1497834258,42905.04444,15.3
9037999,1497834259,42905.04444,15.3
9039000,1497834260,42905.04444,15.3
9039998,1497834261,42905.04444,15.3
9041000,1497834262,42905.04444,15.3
9042000,1497834263,42905.04444,15.3
9042999,1497834264,42905.04444,15.3
9043998,1497834265,42905.04444,15.3
9044999,1497834266,42905.04444,15.3
9045999,1497834267,42905.04444,15.3
9047000,1497834268,42905.04444,15.3
9048000,1497834269,42905.04444,15.3
9048999,1497834270,42905.04444,15.3
9050000,1497834271,42905.04444,15.3
9050999,1497834272,42905.04444,15.3
9051999,1497834273,42905.04444,15.3
9052998,1497834274,42905.04444,15.3
9054000,1497834275,42905.04444,15.3
9054999,1497834276,42905.04444,15.3
9056000,1497834277,42905.04444,15.3
9056999,1497834278,42905.04444,15.3
9057999,1497834279,42905.04444,15.3
9058999,1497834280,42905.04444,15.3
9059999,1497834281,42905.04444,15.3
9060999,1497834282,42905.04444,15.3
9061999,1497834283,42905.04444,15.3
9062999,1497834284,42905.04444,15.3
9063999,1497834285,42905.04444,15.3
9064999,1497834286,42905.04444,15.3
9066000,1497834287,42905.04444,15.3
9066998,1497834288,42905.04444,15.3
9067999,1497834289,42905.04444,15.3
9068998,1497834290,42905.04444,15.3
9069999,1497834291,42905.04444,15.3
9070999,1497834292,42905.04444,15.3
9071998,1497834293,42905.04444,15.3
9072999,1497834294,42905.04444,15.3
9073998,1497834295,42905.04444,15.3
9075000,1497834296,42905.04444,15.3
9075999,1497834297,42905.04444,15.3
9076999,1497834298,42905.04444,15.3
9077998,1497834299,42905.04444,15.3
9078999,1497834300,42905.04514,15.3
9079999,1497834301,42905.04514,15.3
9080998,1497834302,42905.04514,15.3
9081999,1497834303,42905.04514,15.3
9082999,1497834304,42905.04514,15.3
9083999,1497834305,42905.04514,15.3
9084998,1497834306,42905.04514,15.3
9085999,1497834307,42905.04514,15.3
9087000,1497834308,42905.04514,15.3
9087998,1497834309,42905.04514,15.3
9088999,1497834310,42905.04514,15.3
9089999,1497834311,42905.04514,15.3
9090999,1497834312,42905.04514,15.3
9091999,1497834313,42905.04514,15.3
9092999,1497834314,42905.04514,15.3
9094000,1497834315,42905.04514,15.3
9095000,1497834316,42905.04514,15.3
9096000,1497834317,42905.04514,15.3
9096998,1497834318,42905.04514,15.3
