stamp,datetime,humidity,temperature
"1497825623","42904.94471","63.7","18.4"
"1497825624","42904.94472","63.5","18.3"
"1497825625","42904.94473","63.5","18.3"
"1497825626","42904.94475","63.5","18.3"
"1497825627","42904.94476","63.5","18.3"
"1497825628","42904.94477","63.5","18.3"
"1497825629","42904.94478","63.5","18.3"
"1497825630","42904.94479","63.5","18.3"
"1497825631","42904.9448","63.5","18.3"
"1497825632","42904.94481","63.5","18.3"
"1497825633","42904.94483","63.5","18.3"
"1497825634","42904.94484","63.6","18.3"
"1497825635","42904.94485","63.6","18.3"
"1497825636","42904.94486","63.6","18.3"
"1497825637","42904.94487","63.6","18.3"
"1497825638","42904.94488","63.7","18.4"
"1497825639","42904.9449","63.7","18.4"
"1497825640","42904.94491","63.7","18.4"
"1497825641","42904.94492","63.6","18.3"
"1497825642","42904.94493","63.6","18.3"
"1497825643","42904.94494","63.6","18.3"
"1497825644","42904.94495","63.6","18.3"
"1497825645","42904.94497","63.7","18.3"
"1497825646","42904.94498","63.7","18.3"
"1497825647","42904.94499","63.7","18.3"
"1497825648","42904.945","63.7","18.3"
"1497825649","42904.94501","63.7","18.3"
"1497825650","42904.94502","63.7","18.3"
"1497825651","42904.94503","63.7","18.3"
"1497825652","42904.94505","63.7","18.3"
"1497825653","42904.94506","63.7","18.3"
"1497825654","42904.94507","63.7","18.3"
"1497825655","42904.94508","63.7","18.3"
"1497825656","42904.94509","63.7","18.3"
"1497825657","42904.9451","63.9","18.4"
"1497825658","42904.94512","63.9","18.4"
"1497825659","42904.94513","63.8","18.3"
"1497825660","42904.94514","63.8","18.3"
"1497825661","42904.94515","63.8","18.3"
"1497825662","42904.94516","63.8","18.3"
"1497825663","42904.94517","63.8","18.3"
"1497825664","42904.94519","63.9","18.3"
"1497825665","42904.9452","63.9","18.3"
"1497825666","42904.94521","63.8","18.3"
"1497825667","42904.94522","63.8","18.3"
"1497825668","42904.94523","63.8","18.3"
"1497825669","42904.94524","63.9","18.3"
"1497825670","42904.94525","63.9","18.3"
